time,ask qty,bid qty,bid price,ask price
91707,668,716,491000.0,491500.0
91715,669,637,491000.0,491500.0
91721,758,570,491000.0,491500.0
91723,758,365,491000.0,491500.0
91731,1012,122,491000.0,491500.0
91735,976,663,491000.0,491500.0
91754,1193,832,491000.0,491500.0
91825,1549,861,491000.0,491500.0
91840,1555,884,491000.0,491500.0
91841,1555,884,491000.0,491500.0
91843,1555,544,491000.0,491500.0
91844,1555,544,491000.0,491500.0
91859,677,401,490500.0,491000.0
91903,1687,370,490500.0,491000.0
91905,1613,305,490500.0,491000.0
91908,243,689,490000.0,490500.0
91921,303,1027,490000.0,490500.0
91959,331,1681,490000.0,490500.0
92004,322,1669,490000.0,490500.0
92013,165,1775,490000.0,490500.0
92025,209,1798,490000.0,490500.0
92035,1692,313,490500.0,491000.0
92037,1533,221,490500.0,491000.0
92052,1545,452,490500.0,491000.0
92103,1544,534,490500.0,491000.0
92114,1567,512,490500.0,491000.0
92123,1567,333,490500.0,491000.0
92128,3144,182,490500.0,491000.0
92142,10,2051,490000.0,490500.0
92143,10,2051,490000.0,490500.0
92148,18,1441,490000.0,490500.0
92150,18,1441,490000.0,490500.0
92155,1582,3,490500.0,491000.0
92158,58,677,490000.0,490500.0
92203,40,328,490000.0,490500.0
92213,1595,202,490500.0,491000.0
92243,50,500,490000.0,490500.0
92259,190,541,490000.0,490500.0
92304,195,360,490000.0,490500.0
92305,195,360,490000.0,490500.0
92319,166,183,490000.0,490500.0
92323,39,3812,489500.0,490000.0
92324,1185,3557,489500.0,490000.0
92339,1324,4095,489500.0,490000.0
92354,1364,4098,489500.0,490000.0
92357,1364,4058,489500.0,490000.0
92400,1426,4279,489500.0,490000.0
92402,1426,4279,489500.0,490000.0
92404,2866,8242,489500.0,490000.0
92411,1299,3992,489500.0,490000.0
92412,1299,3983,489500.0,490000.0
92413,1299,3983,489500.0,490000.0
92414,1299,3983,489500.0,490000.0
92421,2748,7818,489500.0,490000.0
92430,1329,3805,489500.0,490000.0
92431,1483,3797,489500.0,490000.0
92432,1483,3797,489500.0,490000.0
92433,1483,3797,489500.0,490000.0
92437,1486,3441,489500.0,490000.0
92444,1287,3391,489500.0,490000.0
92453,1280,3361,489500.0,490000.0
92458,1259,3153,489500.0,490000.0
92502,1176,3154,489500.0,490000.0
92509,1234,3116,489500.0,490000.0
92512,1234,3154,489500.0,490000.0
92514,2468,6308,489500.0,490000.0
92515,1234,3154,489500.0,490000.0
92519,1258,2611,489500.0,490000.0
92526,1056,2609,489500.0,490000.0
92532,1136,2559,489500.0,490000.0
92533,1020,2518,489500.0,490000.0
92536,932,2467,489500.0,490000.0
92538,932,2467,489500.0,490000.0
92542,851,2303,489500.0,490000.0
92556,980,2310,489500.0,490000.0
92620,1972,4622,489500.0,490000.0
92622,986,2311,489500.0,490000.0
92624,1990,4276,489500.0,490000.0
92626,169,2138,489500.0,490000.0
92630,953,64,490000.0,490500.0
92632,879,416,490000.0,490500.0
92637,350,519,490000.0,490500.0
92645,118,702,490000.0,490500.0
92655,1694,256,490500.0,491000.0
92657,1694,106,490500.0,491000.0
92715,5,300,490000.0,490500.0
92758,383,1312,490000.0,490500.0
92815,409,1445,490000.0,490500.0
92833,564,1489,490000.0,490500.0
92837,499,1423,490000.0,490500.0
92843,56,1433,490000.0,490500.0
92855,1865,563,490500.0,491000.0
92857,1762,650,490500.0,491000.0
92904,1760,345,490500.0,491000.0
92912,1759,348,490500.0,491000.0
92913,1759,348,490500.0,491000.0
92922,1697,459,490500.0,491000.0
92937,1967,478,490500.0,491000.0
92947,3934,882,490500.0,491000.0
93000,1856,309,490500.0,491000.0
93029,2119,311,490500.0,491000.0
93035,2142,308,490500.0,491000.0
93047,2058,348,490500.0,491000.0
93109,2048,339,490500.0,491000.0
93111,2026,329,490500.0,491000.0
93134,2305,361,490500.0,491000.0
93135,2305,361,490500.0,491000.0
93157,717,2272,490000.0,490500.0
93206,738,2203,490000.0,490500.0
93217,709,2423,490000.0,490500.0
93236,1404,4848,490000.0,490500.0
93254,768,1871,490000.0,490500.0
93312,953,1604,490000.0,490500.0
93314,942,1562,490000.0,490500.0
93327,987,1531,490000.0,490500.0
93356,1102,1513,490000.0,490500.0
93358,1102,1453,490000.0,490500.0
93359,1102,1453,490000.0,490500.0
93400,1102,1453,490000.0,490500.0
93405,1062,1347,490000.0,490500.0
93417,1051,1254,490000.0,490500.0
93444,1265,1314,490000.0,490500.0
93446,1265,1314,490000.0,490500.0
93509,1381,1515,490000.0,490500.0
93520,1400,1506,490000.0,490500.0
93523,1400,1013,490000.0,490500.0
93533,1589,824,490000.0,490500.0
93547,1573,802,490000.0,490500.0
93548,1573,802,490000.0,490500.0
93549,1573,648,490000.0,490500.0
93551,1573,648,490000.0,490500.0
93556,1349,491,490000.0,490500.0
93605,1339,448,490000.0,490500.0
93608,1339,435,490000.0,490500.0
93616,1338,310,490000.0,490500.0
93619,1338,309,490000.0,490500.0
93629,1308,438,490000.0,490500.0
93636,1313,423,490000.0,490500.0
93650,1324,1250,490000.0,490500.0
93714,1305,1261,490000.0,490500.0
93731,1307,1911,490000.0,490500.0
93732,1307,1911,490000.0,490500.0
93758,1267,1931,490000.0,490500.0
93800,1250,1933,490000.0,490500.0
93809,1183,1924,490000.0,490500.0
93827,1138,2012,490000.0,490500.0
93832,1132,2011,490000.0,490500.0
93834,632,2011,490000.0,490500.0
93836,529,1991,490000.0,490500.0
93841,432,1913,490000.0,490500.0
93845,427,1910,490000.0,490500.0
93850,307,1910,490000.0,490500.0
